ts,nav,spot
2023-11-29,79219.4176,389.81
2023-11-30,78577.6964,388.83
2023-12-01,79220.4138,389.94
2023-12-04,77326.6091,386.32
2023-12-05,77813.9959,387.29
2023-12-06,76576.9764,385.05
2023-12-07,79618.7325,390.43
2023-12-08,80499.8808,392.17
2023-12-11,82527.5892,395.52
2023-12-12,84199.1554,398.67
2023-12-13,86859.5981,403.74
2023-12-14,86896.7738,403.39
2023-12-15,87884.164,405.34
2023-12-18,88828.5617,407.08
2023-12-19,89941.7902,409.16
2023-12-20,86387.3347,403.08
2023-12-21,89153.1259,407.77
2023-12-22,89443.5987,408.38
2023-12-26,90856.3769,410.88
2023-12-27,91211.9414,411.5
2023-12-28,91118.5834,411.3
2023-12-29,90167.2787,409.52
2024-01-02,85900.2586,402.59
2024-01-03,83579.4916,398.33
2024-01-04,82479.9611,396.28
2024-01-05,82815.435,396.75
2024-01-08,87309.2589,404.95
2024-01-09,87765.8741,405.75
2024-01-10,89220.0475,408.5
2024-01-11,89726.5519,409.35
2024-01-12,89824.9456,409.56
2024-01-16,90065.4117,409.52
2024-01-17,88911.8237,407.21
2024-01-18,92026.0842,412.99
2024-01-19,96215.3345,421.18
2024-01-22,96809.667,421.73
2024-01-23,97791.4579,423.48
2024-01-24,99233.9996,425.83
2024-01-25,99528.3611,426.35
2024-01-26,98384.7463,423.81
2024-01-29,100014.8093,428.15
2024-01-30,99084.2103,425.3
2024-01-31,96587.4175,416.97
2024-02-01,98255.2797,421.88
2024-02-02,100683.9647,429.01
2024-02-05,100731.6863,428.45
2024-02-06,100380.6361,427.59
2024-02-07,102048.8894,431.99
2024-02-08,102462.3353,432.79
2024-02-09,104049.2361,437.05
2024-02-12,103604.068,435.34
2024-02-13,101192.7943,428.55
2024-02-14,102996.1507,433.22
2024-02-15,103448.7676,434.51
2024-02-16,102419.5953,430.57
2024-02-20,101224.7798,427.32
2024-02-21,100619.7282,425.61
2024-02-22,104984.0921,438.07
2024-02-23,104529.8878,436.78
2024-02-26,104897.0099,436.55
2024-02-27,105231.2048,437.6
2024-02-28,104430.0641,435.27
2024-02-29,105910.2206,439.0
2024-03-01,108349.9452,445.61
2024-03-04,108138.6937,444.02
2024-03-05,105475.0569,436.05
2024-03-06,106853.1144,438.79
2024-03-07,109252.808,445.45
2024-03-08,106192.1772,439.02
2024-03-11,105364.4545,437.39
2024-03-12,107681.651,443.66
2024-03-13,106472.562,440.25
2024-03-14,105920.3649,439.14
2024-03-15,104319.6668,433.92
2024-03-18,105780.3685,437.48
2024-03-19,106239.6023,438.57
2024-03-20,108124.4742,443.77
2024-03-21,109566.4261,445.87
2024-03-22,109903.8234,446.38
2024-03-25,109593.5509,444.76
2024-03-26,109219.2981,443.32
2024-03-27,109905.9349,444.83
2024-03-28,109856.4483,444.01
2024-04-01,110621.0544,444.95
2024-04-02,109618.4218,441.11
2024-04-03,110106.3116,442.1
2024-04-04,107725.0998,435.34
2024-04-05,109479.6269,440.47
2024-04-08,110262.2314,440.6
2024-04-09,110833.7794,442.23
2024-04-10,110060.2904,438.37
2024-04-11,111946.988,445.37
2024-04-12,109097.9513,438.27
2024-04-15,107106.8012,431.06
2024-04-16,107501.5732,431.1
2024-04-17,105029.9158,425.84
2024-04-18,104230.8593,423.41
2024-04-19,100345.3982,414.65
2024-04-22,102245.9826,418.82
2024-04-23,104248.8198,425.07
2024-04-24,104762.8065,426.51
2024-04-25,104419.5884,424.45
2024-04-26,106593.1263,431.0
2024-04-29,107399.991,432.75
2024-04-30,104658.5283,424.59
2024-05-01,102982.8602,421.52
2024-05-02,105247.9235,426.9
2024-05-03,108359.2474,435.48
2024-05-06,110211.8969,440.25
2024-05-07,110137.1354,440.32
2024-05-08,110205.6603,440.06
2024-05-09,110515.1305,441.02
2024-05-10,111069.2671,442.06
2024-05-13,111444.2218,443.08
2024-05-14,111996.4737,445.93
2024-05-15,112927.2017,452.9
2024-05-16,112861.8454,451.98
2024-05-17,113162.0125,451.76
2024-05-20,113887.9246,454.91
2024-05-21,113968.0567,455.8
2024-05-22,114194.0218,455.71
2024-05-23,114455.1992,453.66
2024-05-24,114883.4314,457.95
2024-05-28,115268.6417,459.68
2024-05-29,114948.4954,456.44
2024-05-30,114788.9197,451.55
2024-05-31,114571.3336,450.71
2024-06-03,115368.9293,453.13
2024-06-04,115389.7841,454.37
2024-06-05,116110.0803,463.53
2024-06-06,115960.7952,463.37
2024-06-07,116044.8829,462.96
2024-06-10,116586.3615,464.83
2024-06-11,116625.1509,468.02
2024-06-12,117121.8651,474.15
2024-06-13,117376.2801,476.72
2024-06-14,117543.3338,479.19
2024-06-17,118044.8981,485.06
2024-06-18,118443.0128,485.21
2024-06-20,117728.0165,481.47
2024-06-21,117248.8394,480.18
2024-06-24,115633.3144,473.96
2024-06-25,116101.9021,479.38
2024-06-26,116179.6464,480.37
2024-06-27,116177.5557,481.61
2024-06-28,116378.8695,479.11
2024-07-01,116684.7549,481.92
2024-07-02,116952.4367,486.98
2024-07-03,117258.7728,491.04
2024-07-05,117774.116,496.16
2024-07-08,118208.1558,497.34
2024-07-09,118341.1296,497.77
2024-07-10,118787.1581,502.96
2024-07-11,117822.4017,491.93
2024-07-12,118358.5471,494.82
2024-07-15,118659.9189,496.15
2024-07-16,118769.0,496.34
2024-07-17,115094.209,481.77
2024-07-18,115321.2512,479.49
2024-07-19,114796.5649,475.24
2024-07-22,115682.6201,482.32
2024-07-23,115768.6887,480.62
2024-07-24,114312.7239,463.38
2024-07-25,112562.8215,458.27
2024-07-26,114130.4334,462.97
2024-07-29,114966.9682,463.9
2024-07-30,111827.1691,457.53
2024-07-31,114159.5689,471.07
2024-08-01,111604.0639,459.66
2024-08-02,110553.6904,448.75
2024-08-05,104857.3815,435.37
2024-08-06,109975.5123,439.53
2024-08-07,108652.9718,434.77
2024-08-08,112396.7035,448.07
2024-08-09,111841.2279,450.41
2024-08-12,113278.8287,451.38
2024-08-13,115010.7451,462.58
2024-08-14,115305.14,462.73
2024-08-15,117678.1386,474.42
2024-08-16,117905.6919,475.03
2024-08-19,119683.7354,481.27
2024-08-20,119768.0711,480.26
2024-08-21,120882.3891,482.5
2024-08-22,118882.1767,474.85
2024-08-23,120054.166,480.0
2024-08-26,118850.9695,475.34
2024-08-27,119363.6221,476.76
2024-08-28,118742.1964,471.35
2024-08-29,118191.9804,470.66
2024-08-30,120191.1307,476.27
2024-09-03,116072.923,461.81
2024-09-04,116149.0685,460.61
2024-09-05,115923.4492,461.04
2024-09-06,113928.8436,448.69
2024-09-09,115037.6603,454.46
2024-09-10,115933.6566,458.66
2024-09-11,119536.4686,468.62
2024-09-12,120355.1412,473.22
2024-09-13,121022.0757,475.34
2024-09-16,121161.9934,473.24
2024-09-17,121485.3648,473.49
2024-09-18,120641.0299,471.44
2024-09-19,123416.391,483.36
2024-09-20,123231.9019,482.44
2024-09-23,123798.1936,483.04
2024-09-24,124552.8594,485.37
2024-09-25,124882.121,485.82
2024-09-26,125846.2702,489.47
2024-09-27,125301.2266,486.75
2024-09-30,125728.4209,488.07
2024-10-01,124314.9566,481.27
2024-10-02,124876.6776,481.95
2024-10-03,125681.0282,481.59
2024-10-04,127296.2054,487.32
2024-10-07,127460.5827,482.1
2024-10-08,129157.2255,489.3
2024-10-09,130554.7294,493.15
2024-10-10,130564.9077,492.59
2024-10-11,130890.1069,493.36
2024-10-14,132230.3786,497.5
2024-10-15,128513.7984,490.85
2024-10-16,128583.7418,490.91
2024-10-17,129143.4883,491.25
2024-10-18,129788.0626,494.47
2024-10-21,130605.8026,495.42
2024-10-22,130714.482,495.96
2024-10-23,128812.5503,488.36
2024-10-24,130060.5143,492.32
2024-10-25,131582.8255,495.32
2024-10-28,131466.4846,495.4
2024-10-29,132999.877,500.16
2024-10-30,131507.7495,496.38
2024-10-31,127393.3083,483.85
2024-11-01,128117.9813,487.43
2024-11-04,127918.0567,486.01
2024-11-05,129130.1067,492.21
2024-11-06,131923.2055,505.58
2024-11-07,133667.424,513.54
2024-11-08,133773.2617,514.14
2024-11-11,133468.5685,513.84
2024-11-12,133645.3004,512.91
2024-11-13,132740.7502,512.25
2024-11-14,131987.0985,508.69
2024-11-15,126898.5952,496.57
2024-11-18,128057.6687,500.02
2024-11-19,129378.8949,503.46
2024-11-20,129401.4958,503.17
2024-11-21,130161.2816,504.98
2024-11-22,130051.9793,505.79
2024-11-25,130499.8072,506.59
2024-11-26,131092.407,509.31
2024-11-27,130234.1095,505.3
2024-11-29,131789.0926,509.74
2024-12-02,133389.4892,515.29
2024-12-03,133850.385,516.87
2024-12-04,135416.74,523.26
2024-12-05,134985.773,521.81
2024-12-06,136245.0679,526.48
2024-12-09,135269.3045,522.38
2024-12-10,134076.1492,520.6
2024-12-11,137535.815,529.92
